Language,Id,Text
ara,994109739280748544,"#الاختبارات _م11 
#قائدة_متميزة_نجلة_السيد تجهيزات رائعة وأجواء من الهدوء https://t.co/9WkkKbHWS0"
dut,996351303784763392,Hangt daar mooi hoor! Past zo leuk bij het bord voor jullie kop. #PalestineBleeds https://t.co/8ncaOvVvp9
jpn,991284349596123136,"と言うことで今から吉祥寺で、新規事業の一角を担う若者と飲みーティング。
どれだけ覚悟があるのか見極めてやるぜよ。"
pol,991067282754457604,"@ChiefRobert2 Tak w szkole socjalistycznego planowania uczono. Jestem pewien, że szkołę ukończył z wyróżnieniem."
hun,989495076404580352,Tetszett egy videó (@YouTube): https://t.co/ZJDdDcxZjr – Tangled The Series - Ready As I'll Ever Be SONG
jpn,991310506823532544,自分が役に立っていないと精神的に参る人（程度は様々）と、まったく何ともない人がいる。自分がどうなのかを認識しておくと、ストレス解消や適所探しに役に立つ。
ron,990222933732810752,"RT @Sebstanrpth: The American Independent Film Festival in Bucharest, Romania
April 28, 2018  
#SebastianStan https://t.co/nTxbyPXGL7"
hin,993420823191932928,@sakshijoshii Madam Muslims ko ignore karke desh kabhi bhi age nahi badh sakta
msa,990128134572802048,"RT @Jeonjkookie97__: Hello we're Kelompok 1.
Menjual Barang Magic , bagi yang merindukan Film Harry Potter , AYO BELI!! . #HWMAGIC  (@OFCHO…"
kor,993973451772710913,RT @Aheqgnbeit: 자고로 컴백이란 9시에 씻고 경건한 마음으로 10시에 프리뷰쇼 본 다음 12시에 스밍리스트대로 신곡 들으면서 감동받고 트위터에서 뮤비 짤 주우면서 밤새는 맛이 있었는데 음원개혁 이 좆같은 걸 왜 했냐고
vie,991852738488291330,Những Thằng Nguy Hiểm Nhất Nhat The Gioi: https://t.co/8hbqBFhVxL via @YouTube
ces,992406569814982656,"@JosefKokta Už jsem to psal, ale radši to budu opakovat.
Přeju pevný nervy a ať je tohle brzy za tebou."
pol,990285065946058752,@KapitanNemoPL I idę o zakład ze kasa z fundacji tez płynie
